run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,3,-213.52818938985928,True
0,UB3LYP,vtz,trail,1.725,3,-213.53792828378653,True
1,UB3LYP,vdz,trail,1.725,3,-213.52093372307988,True
1,UB3LYP,vtz,trail,1.725,3,-213.5307931050122,True
2,UB3LYP,vdz,trail,1.725,3,-213.47719215744348,True
2,UB3LYP,vtz,trail,1.725,3,-213.48543987874962,True
3,UB3LYP,vdz,trail,1.725,3,-213.42662740066086,True
3,UB3LYP,vtz,trail,1.725,3,-213.43664575540663,True
4,UB3LYP,vdz,trail,1.725,3,-213.47031953425778,True
4,UB3LYP,vtz,trail,1.725,3,-213.47852034575095,True
5,UB3LYP,vdz,trail,1.725,3,-213.4260641188286,True
5,UB3LYP,vtz,trail,1.725,3,-213.43734164287508,True
